BIN_INDEX, BIN_FROM, BIN_TO, INTERPOLATION, INTERVAL_TYPE
204,  20.300, 20.400, 20.350, 1202
205,  20.400, 20.500, 20.450, 1202
206,  20.500, 20.600, 20.550, 1202
207,  20.600, 20.700, 20.650, 1202
208,  20.700, 20.800, 20.750, 1202
209,  20.800, 20.900, 20.850, 1202
210,  20.900, 21.000, 20.950, 1202
211,  21.000, 21.100, 21.050, 1202
212,  21.100, 21.200, 21.150, 1202
213,  21.200, 21.300, 21.250, 1202
214,  21.300, 21.400, 21.350, 1202
215,  21.400, 21.500, 21.450, 1202
216,  21.500, 21.600, 21.550, 1202
217,  21.600, 21.700, 21.650, 1202
218,  21.700, 21.800, 21.750, 1202
219,  21.800, 21.900, 21.850, 1202
220,  21.900, 22.000, 21.950, 1202
221,  22.000, 22.100, 22.050, 1202
222,  22.100, 22.200, 22.150, 1202
223,  22.200, 22.300, 22.250, 1202
224,  22.300, 22.400, 22.350, 1202
225,  22.400, 22.500, 22.450, 1202
226,  22.500, 22.600, 22.550, 1202
227,  22.600, 22.700, 22.650, 1202
228,  22.700, 22.800, 22.750, 1202
229,  22.800, 22.900, 22.850, 1202
230,  22.900, 23.000, 22.950, 1202
231,  23.000, 23.100, 23.050, 1202
232,  23.100, 23.200, 23.150, 1202
233,  23.200, 23.300, 23.250, 1202
234,  23.300, 23.400, 23.350, 1202
235,  23.400, 23.500, 23.450, 1202
236,  23.500, 23.600, 23.550, 1202
237,  23.600, 23.700, 23.650, 1202
238,  23.700, 23.800, 23.750, 1202
239,  23.800, 23.900, 23.850, 1202
240,  23.900, 24.000, 23.950, 1202
241,  24.000, 24.100, 24.050, 1202
242,  24.100, 24.200, 24.150, 1202
243,  24.200, 24.300, 24.250, 1202
244,  24.300, 24.400, 24.350, 1202
245,  24.400, 24.500, 24.450, 1202
246,  24.500, 24.600, 24.550, 1202
247,  24.600, 24.700, 24.650, 1202
248,  24.700, 24.800, 24.750, 1202
249,  24.800, 24.900, 24.850, 1202
250,  24.900, 25.000, 24.950, 1202
251,  25.000, 25.100, 25.050, 1202
252,  25.100, 25.200, 25.150, 1202
253,  25.200, 25.300, 25.250, 1202
254,  25.300, 25.400, 25.350, 1202
255,  25.400, 25.500, 25.450, 1202
256,  25.500, 25.600, 25.550, 1202
257,  25.600, 25.700, 25.650, 1202
258,  25.700, 25.800, 25.750, 1202
259,  25.800, 25.900, 25.850, 1202
260,  25.900, 26.000, 25.950, 1202
261,  26.000, 26.100, 26.050, 1202
262,  26.100, 26.200, 26.150, 1202
263,  26.200, 26.300, 26.250, 1202
264,  26.300, 26.400, 26.350, 1202
265,  26.400, 26.500, 26.450, 1202
266,  26.500, 26.600, 26.550, 1202
267,  26.600, 26.700, 26.650, 1202
268,  26.700, 26.800, 26.750, 1202
269,  26.800, 26.900, 26.850, 1202
270,  26.900, 27.000, 26.950, 1202
271,  27.000, 27.100, 27.050, 1202
272,  27.100, 27.200, 27.150, 1202
273,  27.200, 27.300, 27.250, 1202
274,  27.300, 27.400, 27.350, 1202
275,  27.400, 27.500, 27.450, 1202
276,  27.500, 27.600, 27.550, 1202
277,  27.600, 27.700, 27.650, 1202
278,  27.700, 27.800, 27.750, 1202
279,  27.800, 27.900, 27.850, 1202
280,  27.900, 28.000, 27.950, 1202
281,  28.000, 28.100, 28.050, 1202
282,  28.100, 28.200, 28.150, 1202
283,  28.200, 28.300, 28.250, 1202
284,  28.300, 28.400, 28.350, 1202
285,  28.400, 28.500, 28.450, 1202
286,  28.500, 28.600, 28.550, 1202
287,  28.600, 28.700, 28.650, 1202
288,  28.700, 28.800, 28.750, 1202
289,  28.800, 28.900, 28.850, 1202
290,  28.900, 29.000, 28.950, 1202
291,  29.000, 29.100, 29.050, 1202
292,  29.100, 29.200, 29.150, 1202
293,  29.200, 29.300, 29.250, 1202
294,  29.300, 29.400, 29.350, 1202
295,  29.400, 29.500, 29.450, 1202
296,  29.500, 29.600, 29.550, 1202
297,  29.600, 29.700, 29.650, 1202
298,  29.700, 29.800, 29.750, 1202
299,  29.800, 29.900, 29.850, 1202
300,  29.900, 30.000, 29.950, 1202
301,  30.000, 30.100, 30.050, 1202
302,  30.100, 30.200, 30.150, 1202
303,  30.200, 30.300, 30.250, 1202
304,  30.300, 30.400, 30.350, 1202
305,  30.400, 30.500, 30.450, 1202
306,  30.500, 30.600, 30.550, 1202
307,  30.600, 30.700, 30.650, 1202
