event_id,period_no,occ_date_id
6607,64,12202039
6657,65,6202148
6667,65,8221007
6671,65,9021829
6672,65,9070529
6676,65,9130458
6689,65,11161439
6704,65,12230423
6723,66,2141730
6743,66,5141642
6753,66,6251149
6756,66,7030728
6757,66,7041323
6773,66,9232221
6782,66,10211544
6786,66,11032307
6787,66,11030747
6788,66,11041528
6802,66,12222145
6815,67,2092040
6821,67,3130732
6830,67,4261333
6833,67,5022032
6855,67,8240512
6881,67,11061922
6912,68,3050957
6913,68,3072315
6921,68,3301947
6945,68,6160238
6946,68,6170516
7020,69,4091737
7026,69,4170243
7054,69,9010743
7057,69,9091145
7071,69,11122359
7078,69,12140018
7114,70,4281703
7136,70,7141829
7150,70,8270844
7158,70,9190524
7172,70,11022154
7190,71,1081438
7229,71,6180849
7232,71,6261100
7239,71,7182046
7246,71,7312135
7247,71,8020446
7255,71,9041325
7286,72,1151450
7307,72,3270333
7313,72,4232139
7324,72,5140540
7325,72,5151609
7329,72,6242347
7333,72,7090131
7340,72,8051728
7415,73,5130648
7417,73,5160435
7465,73,11262256
7480,73,12280658
7488,74,2050107
7491,74,2111622
7502,74,3190344
7508,74,4030938
7529,74,5290852
7532,74,6010156
7539,74,6241802
7551,74,7291238
7562,74,8290315
7567,74,9150640
7571,74,9250616
7585,74,11121638
7589,74,11180254
7634,75,4192235
7638,75,4270448
7639,75,4282346
7658,75,6030748
7691,75,9171158
7749,76,3062113
7767,76,4151253
7819,76,8150012
7826,76,9240122
7831,76,10291152
7851,77,1151108
7961,78,1042343
7964,78,1081346
7975,78,2180834
8004,78,5082142
8017,78,6250510
8028,78,8111335
8072,78,12290514
8083,79,2070342
8090,79,3080800
8091,79,3231501
8093,79,3271929
8101,79,4251617
8115,79,5180140
8122,79,7071454
8143,79,9130617
8149,79,9291652
8158,79,10190631
8169,79,11232144
8186,80,1041944
8189,80,1160140
8205,80,3200142
8217,80,4160005
8228,80,5150015
8230,80,5181014
8236,80,6140003
8259,80,9241910
8261,80,9302202
8304,81,2230052
8332,81,5251010
8356,81,8041401
8368,81,9060412
8371,81,9120414
8387,81,11081958
8392,81,11271332
8460,82,6181000
8475,82,8170015
8486,82,9292218
8526,83,2100855
8540,83,4150930
8549,83,5151748
8554,83,5280706
8571,83,7160944
8574,83,7252018
8584,83,8131206
8596,83,9232151
8601,83,10020632
8618,83,11231944
8629,83,12310929
8635,84,2171002
8637,84,2242128
8646,84,3230320
8648,84,3290916
8651,84,4081516
8657,84,4181421
8658,84,4220141
8663,84,5012057
8674,84,6111934
8676,84,6142241
8678,84,6272045
8684,84,7152106
8700,84,9170052
8701,84,9180612
8742,85,2050538
8788,85,8021658
8794,85,8222253
8798,85,9041954
8826,85,12040916
8836,85,12201710
8839,86,1041012
8860,86,4041600
8862,86,4140444
8869,86,5041257
8874,86,5170629
8877,86,5300555
8920,86,10292134
8922,86,10310318
8928,86,12020645
8936,86,12290128
8938,87,1010331
8964,87,4141715
8967,87,4151615
8988,87,7112118
8996,87,8032134
8999,87,8312002
9003,87,9142350
9008,87,9251852
9046,88,1311246
9048,88,2031503
9061,88,3071733
9082,88,5150419
9096,88,7011413
9111,88,8180508
9115,88,8260057
9121,88,9210226
9126,88,10141020
9157,89,2092218
9168,89,3110710
9169,89,3130050
9172,89,3152117
9176,89,4031643
9178,89,4111850
9182,89,4201659
9185,89,4210302
9202,89,7100427
9206,89,7122313
9213,89,8101618
9218,89,8231139
9226,89,9200142
9237,89,10280354
9241,89,11170253
9244,89,11220441
9250,89,12111032
9255,89,12162352
9268,90,2191841
9286,90,4231849
9288,90,4271523
9290,90,5040436
9292,90,5081922
9302,90,5301807
9332,90,10020940
9363,91,1130222
9367,91,1221648
9440,91,11081316
9450,91,12312359
9469,92,2260141
9497,92,6160327
9499,92,6211618
9501,92,7021706
9521,92,8300915
9545,92,10311221
9546,92,11030606
9586,93,4131302
9594,93,5190437
9598,93,5301946
9602,93,6120915
9655,93,11220940
9656,93,11242321
9683,94,2260904
9691,94,4061731
9692,94,4110903
9713,94,7042008
9714,94,7070248
9717,94,7190433
9720,94,7271938
9723,94,8110524
9751,94,10260126
9765,94,12070630
9788,95,3150851
9792,95,4012239
9795,95,4170856
9797,95,4180608
9820,95,6221047
9822,95,7032135
9827,95,7191429
9837,95,9011730
9860,95,12240505
9869,96,1222158
9896,96,4091619
9916,96,5281344
9918,96,6020608
9920,96,6090631
9926,96,6302224
9968,96,12110536
9969,96,12111148
9979,97,2130334
9989,97,3142027
10012,97,5090714
10017,97,5190352
10032,97,7181937
10076,97,11281935
10110,98,3230401
10116,98,4122113
10119,98,4171446
10134,98,5230213
10145,98,6241711
10155,98,8121653
10173,98,10210646
10195,98,12170842
10202,99,1041658
10209,99,2141002
10220,99,4090236
10231,99,5150545
10252,99,8122209
10253,99,8151356
10270,99,9291004
10277,99,11032208
10280,99,11100252
10292,99,12101719
10298,100,1151204
10309,100,2140339
10362,100,8240549
10391,100,11241927
10398,100,12130320
10407,101,1140852
10419,101,2021005
10421,101,2071045
10461,101,7020039
10464,101,7150711
10469,101,7281042
10482,101,9020325
10486,101,9180529
10510,101,12021747
10519,102,1030605
10525,102,1101336
10528,102,1161626
10547,102,4010212
10552,102,4121253
10554,102,4171824
10557,102,4290752
10599,102,10051010
10605,102,11082222
10610,102,11181033
10618,102,12262046
10638,103,2180907
10657,103,5021247
10662,103,5231127
10712,103,11151454
10720,103,12040632
10762,104,4031348
10768,104,5022305
10783,104,6140117
10791,104,7041143
10826,104,10151518
10862,105,2131812
10868,105,3031918
10875,105,3231916
10878,105,3302202
10880,105,4131809
10893,105,5142224
10954,105,12112304
10979,106,2121139
11002,106,5080920
11010,106,7050346
11022,106,8041350
11033,106,9090448
11034,106,9091008
11040,106,9230726
11050,106,11081650
11051,106,11150843
11057,106,12020018
11059,106,12081839
11066,106,12280410
11079,107,3030709
11088,107,4040228
11089,107,4140239
11098,107,5050625
11100,107,5052334
11129,107,7151956
11138,107,8180354
11142,107,9110434
11162,107,11091339
11163,107,11101100
11166,107,11281036
11175,108,1041756
11181,108,1192126
11183,108,1211149
11201,108,3141703
11204,108,3230831
11213,108,4230624
11221,108,5250732
11223,108,6062224
11233,108,7010908
11242,108,7281306
11255,108,10111642
11288,109,4021422
11290,109,4110514
11301,109,5152145
11302,109,5251818
11314,109,6271041
11318,109,7101437
11332,109,8090134
11333,109,8102326
11359,109,11121644
11361,109,11210448
11379,110,1071228
11403,110,3281759
11418,110,5081825
11436,110,7230625
